key,type,prefecture,district,electrate-2017-9
1,representative-constituency,"""北海道""",1,443406
2,representative-constituency,"""北海道""",2,458015
3,representative-constituency,"""北海道""",3,469636
4,representative-constituency,"""北海道""",4,374086
5,representative-constituency,"""北海道""",5,467214
6,representative-constituency,"""北海道""",6,431597
7,representative-constituency,"""北海道""",7,266206
8,representative-constituency,"""北海道""",8,382035
9,representative-constituency,"""北海道""",9,399470
10,representative-constituency,"""北海道""",10,306857
11,representative-constituency,"""北海道""",11,290757
12,representative-constituency,"""北海道""",12,302068
13,representative-constituency,"""青森県""",1,357447
14,representative-constituency,"""青森県""",2,403820
15,representative-constituency,"""青森県""",3,365833
16,representative-constituency,"""岩手県""",1,296931
17,representative-constituency,"""岩手県""",2,393959
18,representative-constituency,"""岩手県""",3,389919
19,representative-constituency,"""宮城県""",1,431737
20,representative-constituency,"""宮城県""",2,451360
21,representative-constituency,"""宮城県""",3,293017
22,representative-constituency,"""宮城県""",4,240629
23,representative-constituency,"""宮城県""",5,264412
24,representative-constituency,"""宮城県""",6,266414
25,representative-constituency,"""秋田県""",1,268373
26,representative-constituency,"""秋田県""",2,277013
27,representative-constituency,"""秋田県""",3,340885
28,representative-constituency,"""山形県""",1,310239
29,representative-constituency,"""山形県""",2,329688
30,representative-constituency,"""山形県""",3,302785
31,representative-constituency,"""福島県""",1,418880
32,representative-constituency,"""福島県""",2,353124
33,representative-constituency,"""福島県""",3,274713
34,representative-constituency,"""福島県""",4,248156
35,representative-constituency,"""福島県""",5,332711
36,representative-constituency,"""茨城県""",1,411109
37,representative-constituency,"""茨城県""",2,364050
38,representative-constituency,"""茨城県""",3,393570
39,representative-constituency,"""茨城県""",4,275619
40,representative-constituency,"""茨城県""",5,250550
41,representative-constituency,"""茨城県""",6,447289
42,representative-constituency,"""茨城県""",7,312529
43,representative-constituency,"""栃木県""",1,433599
44,representative-constituency,"""栃木県""",2,270508
45,representative-constituency,"""栃木県""",3,246943
46,representative-constituency,"""栃木県""",4,406755
47,representative-constituency,"""栃木県""",5,292585
48,representative-constituency,"""群馬県""",1,388338
49,representative-constituency,"""群馬県""",2,338029
50,representative-constituency,"""群馬県""",3,307192
51,representative-constituency,"""群馬県""",4,299056
52,representative-constituency,"""群馬県""",5,313525
53,representative-constituency,"""埼玉県""",1,449916
54,representative-constituency,"""埼玉県""",2,464215
55,representative-constituency,"""埼玉県""",3,453902
56,representative-constituency,"""埼玉県""",4,377831
57,representative-constituency,"""埼玉県""",5,383406
58,representative-constituency,"""埼玉県""",6,442219
59,representative-constituency,"""埼玉県""",7,434185
60,representative-constituency,"""埼玉県""",8,364675
61,representative-constituency,"""埼玉県""",9,411781
62,representative-constituency,"""埼玉県""",10,332455
63,representative-constituency,"""埼玉県""",11,360662
64,representative-constituency,"""埼玉県""",12,377419
65,representative-constituency,"""埼玉県""",13,403984
66,representative-constituency,"""埼玉県""",14,439814
67,representative-constituency,"""埼玉県""",15,414604
68,representative-constituency,"""千葉県""",1,420928
69,representative-constituency,"""千葉県""",2,451520
70,representative-constituency,"""千葉県""",3,337675
71,representative-constituency,"""千葉県""",4,452755
72,representative-constituency,"""千葉県""",5,440360
73,representative-constituency,"""千葉県""",6,364491
74,representative-constituency,"""千葉県""",7,422183
75,representative-constituency,"""千葉県""",8,412244
76,representative-constituency,"""千葉県""",9,412225
77,representative-constituency,"""千葉県""",10,357280
78,representative-constituency,"""千葉県""",11,367523
79,representative-constituency,"""千葉県""",12,388918
80,representative-constituency,"""千葉県""",13,412175
81,representative-constituency,"""東京都""",1,451075
82,representative-constituency,"""東京都""",2,437779
83,representative-constituency,"""東京都""",3,460153
84,representative-constituency,"""東京都""",4,468071
85,representative-constituency,"""東京都""",5,461198
86,representative-constituency,"""東京都""",6,458144
87,representative-constituency,"""東京都""",7,451399
88,representative-constituency,"""東京都""",8,473284
89,representative-constituency,"""東京都""",9,470334
90,representative-constituency,"""東京都""",10,473597
91,representative-constituency,"""東京都""",11,456165
92,representative-constituency,"""東京都""",12,462342
93,representative-constituency,"""東京都""",13,474118
94,representative-constituency,"""東京都""",14,453980
95,representative-constituency,"""東京都""",15,413522
96,representative-constituency,"""東京都""",16,463787
97,representative-constituency,"""東京都""",17,473117
98,representative-constituency,"""東京都""",18,438073
99,representative-constituency,"""東京都""",19,427396
100,representative-constituency,"""東京都""",20,417003
101,representative-constituency,"""東京都""",21,431267
102,representative-constituency,"""東京都""",22,467446
103,representative-constituency,"""東京都""",23,456498
104,representative-constituency,"""東京都""",24,461694
105,representative-constituency,"""東京都""",25,419742
106,representative-constituency,"""神奈川県""",1,428804
107,representative-constituency,"""神奈川県""",2,431851
108,representative-constituency,"""神奈川県""",3,434331
109,representative-constituency,"""神奈川県""",4,332870
110,representative-constituency,"""神奈川県""",5,463467
111,representative-constituency,"""神奈川県""",6,382805
112,representative-constituency,"""神奈川県""",7,435876
113,representative-constituency,"""神奈川県""",8,421672
114,representative-constituency,"""神奈川県""",9,328434
115,representative-constituency,"""神奈川県""",10,459598
116,representative-constituency,"""神奈川県""",11,387817
117,representative-constituency,"""神奈川県""",12,395971
118,representative-constituency,"""神奈川県""",13,461672
119,representative-constituency,"""神奈川県""",14,455455
120,representative-constituency,"""神奈川県""",15,470200
121,representative-constituency,"""神奈川県""",16,469802
122,representative-constituency,"""神奈川県""",17,432076
123,representative-constituency,"""神奈川県""",18,440441
124,representative-constituency,"""新潟県""",1,439385
125,representative-constituency,"""新潟県""",2,303311
126,representative-constituency,"""新潟県""",3,313418
127,representative-constituency,"""新潟県""",4,318283
128,representative-constituency,"""新潟県""",5,282612
129,representative-constituency,"""新潟県""",6,286520
130,representative-constituency,"""富山県""",1,268991
131,representative-constituency,"""富山県""",2,255098
132,representative-constituency,"""富山県""",3,377514
133,representative-constituency,"""石川県""",1,377544
134,representative-constituency,"""石川県""",2,326798
135,representative-constituency,"""石川県""",3,255610
136,representative-constituency,"""福井県""",1,384504
