key,constituency-key,win,name,gender,age,party-key,incumbent,former,profession,votes,party-list
1,1,FALSE,"船橋利実",male,56,4,TRUE,FALSE,"第一選挙区支部長",120987,TRUE
2,1,TRUE,"道下大樹",male,41,5,FALSE,FALSE,"",139110,TRUE
3,2,FALSE,"松木けんこう",male,58,6,FALSE,TRUE,"信社取締役副社長",74425,TRUE
4,2,FALSE,"こわだ康文",male,47,7,FALSE,FALSE,"行政書士",21643,TRUE
5,2,FALSE,"金倉まさとし",male,43,8,FALSE,FALSE,"委員会副委員長",52626,TRUE
6,2,TRUE,"よしかわ貴盛",male,67,4,FALSE,TRUE,"第二選挙区支部長",104824,TRUE
7,3,TRUE,"荒井さとし",male,71,5,FALSE,TRUE,"法人役員",141680,TRUE
8,3,FALSE,"高木ひろひさ",male,57,4,FALSE,TRUE,"選挙区支部長",118961,TRUE
9,4,FALSE,"本多平直",male,52,5,TRUE,FALSE,"区総支部代表",90619,TRUE
10,4,TRUE,"中村ひろゆき",male,56,4,FALSE,TRUE,"選挙区支部長",104054,TRUE
11,4,FALSE,"高橋みほ",female,52,6,TRUE,FALSE,"行政書士",31941,TRUE
12,5,FALSE,"池田まき",female,45,5,FALSE,FALSE,"社会福祉士",135948,TRUE
13,5,FALSE,"森山よしのり",male,50,9,FALSE,FALSE,"団体職員",7632,FALSE
14,5,TRUE,"和田よしあき",male,46,4,FALSE,TRUE,"選挙区支部長",142687,TRUE
15,6,FALSE,"今津ひろし",male,71,4,FALSE,TRUE,"第６選挙区支部長",113851,TRUE
16,6,TRUE,"ささき隆博",male,68,5,FALSE,TRUE,"農業",136312,FALSE
17,7,TRUE,"伊東よしたか",male,68,4,FALSE,TRUE,"第七選挙区支部支",95200,TRUE
18,7,FALSE,"石川明美",male,66,8,FALSE,FALSE,"政党役員",47740,FALSE
19,8,TRUE,"おおさか誠二",male,58,1,FALSE,TRUE,"無職",125771,FALSE
20,8,FALSE,"前田一男",male,51,4,FALSE,TRUE,"選挙区支部長",101243,TRUE
21,9,FALSE,"山岡達丸",male,38,6,TRUE,FALSE,"政党役員",88320,TRUE
22,9,TRUE,"ほりい学",male,45,4,FALSE,TRUE,"第九選挙区支部長",108747,TRUE
23,9,FALSE,"松橋ちはる",female,35,8,FALSE,FALSE,"政・道政対策委員",35543,FALSE
24,10,TRUE,"いなつ久",male,59,2,FALSE,TRUE,"政党役員",96795,FALSE
25,10,FALSE,"神谷ひろし",male,49,5,FALSE,FALSE,"政党役員",96282,TRUE
26,11,TRUE,"石川かおり",female,33,5,FALSE,FALSE,"無職",98214,TRUE
27,11,FALSE,"中川ゆうこ",female,58,4,FALSE,TRUE,"第十一選挙区支部",82096,TRUE
28,12,TRUE,"武部あらた",male,47,4,FALSE,TRUE,"選挙区支部長",97113,TRUE
29,12,FALSE,"水上みか",female,35,6,FALSE,FALSE,"政党役員",58422,TRUE
30,12,FALSE,"菅原まこと",male,44,8,FALSE,FALSE,"党北見地区委員長",23830,FALSE
31,13,TRUE,"つしま淳",male,51,4,FALSE,TRUE,"選挙区支部長",103177,TRUE
32,13,FALSE,"赤平ゆうと",male,27,8,FALSE,FALSE,"政党役員",20497,FALSE
33,13,FALSE,"ますた世喜男",male,60,6,FALSE,TRUE,"希望の党幹事",64173,TRUE
34,14,FALSE,"工藤たけし",male,45,6,FALSE,FALSE,"政党役員",56011,TRUE
35,14,FALSE,"奥本なおみ",female,57,8,FALSE,FALSE,"政党役員",19004,FALSE
36,14,TRUE,"大島理森",male,71,4,FALSE,TRUE,"農業",133545,TRUE
37,15,FALSE,"三国ゆうき",male,32,9,FALSE,FALSE,"団体役員",4115,FALSE
38,15,TRUE,"木村次郎",male,49,4,FALSE,FALSE,"無職",128740,TRUE
39,15,FALSE,"山内たかし",male,62,6,FALSE,FALSE,"無職",51096,TRUE
40,15,FALSE,"高柳ひろあき",male,47,8,FALSE,FALSE,"政党役員",16510,FALSE
41,16,FALSE,"高橋ひなこ",female,59,4,FALSE,TRUE,"選挙区支部長",57381,TRUE
42,16,FALSE,"吉田恭子",female,36,8,FALSE,FALSE,"政党役員",21549,TRUE
43,16,TRUE,"しなたけし",male,51,6,FALSE,TRUE,"政党役員",87534,TRUE
44,17,FALSE,"畑こうじ",male,54,6,TRUE,FALSE,"団体役員",98842,TRUE
45,17,TRUE,"すずき俊一",male,64,4,FALSE,TRUE,"選挙区支部長",129884,TRUE
46,18,TRUE,"小沢一郎",male,75,1,FALSE,TRUE,"政党役員",130229,FALSE
47,18,FALSE,"藤原たかし",male,34,4,FALSE,TRUE,"選挙区支部長",96571,TRUE
48,19,TRUE,"土井とおる",male,59,4,FALSE,TRUE,"第一選挙区支部長",100123,TRUE
49,19,FALSE,"岡本あき子",female,53,5,FALSE,FALSE,"政党役員",78704,TRUE
50,19,FALSE,"畠山まさき",male,43,7,FALSE,FALSE,"医師",10001,TRUE
51,19,FALSE,"伊藤ゆうた",male,32,6,FALSE,FALSE,"政党役員",24047,TRUE
52,19,FALSE,"油井てつし",male,37,9,FALSE,FALSE,"団体職員",2413,FALSE
53,19,FALSE,"今留尚人",male,52,1,FALSE,FALSE,"医師",1547,FALSE
54,20,TRUE,"秋葉けんや",male,55,4,FALSE,TRUE,"第二選挙区支部長",111559,TRUE
55,20,FALSE,"鎌田さゆり",female,52,1,TRUE,FALSE,"政党役員",110243,FALSE
56,21,FALSE,"いちじょう芳弘",male,44,6,FALSE,FALSE,"政党役員",40670,TRUE
57,21,FALSE,"吉田ごう",male,35,8,FALSE,FALSE,"政党役員",20469,FALSE
58,21,TRUE,"西村あきひろ",male,57,4,FALSE,TRUE,"第三選挙区支部長",92893,TRUE
59,22,TRUE,"いとう信太郎",male,64,4,FALSE,TRUE,"選挙区支部長",73298,TRUE
60,22,FALSE,"坂東たけひこ",male,58,6,FALSE,FALSE,"医師",34424,TRUE
61,22,FALSE,"たかむら直也",male,34,8,FALSE,FALSE,"政党役員",17688,FALSE
62,23,FALSE,"かつぬま栄明",male,42,4,FALSE,TRUE,"医師",50496,TRUE
63,23,TRUE,"安住淳",male,55,1,FALSE,TRUE,"政党役員",89423,FALSE
64,24,TRUE,"小野寺五典",male,57,4,FALSE,TRUE,"防衛大臣",123871,TRUE
65,24,FALSE,"横田有史",male,73,8,FALSE,FALSE,"政党役員",20638,FALSE
66,25,TRUE,"とがし博之",male,62,4,FALSE,TRUE,"選挙区支部長",79442,TRUE
67,25,FALSE,"松浦ダイゴ",male,48,6,FALSE,FALSE,"無職",53851,TRUE
68,25,FALSE,"さいとう大悟",male,38,8,FALSE,FALSE,"政党役員",14584,FALSE
69,26,TRUE,"かねだ勝年",male,68,4,FALSE,TRUE,"選挙区支部長",74835,TRUE
70,26,FALSE,"藤本ゆり",female,38,8,FALSE,FALSE,"政党役員",13642,FALSE
71,26,FALSE,"緑川たかし",male,32,6,FALSE,FALSE,"政党役員",73163,TRUE
72,27,FALSE,"村岡としひで",male,57,6,FALSE,TRUE,"政治団体代表",93746,TRUE
73,27,TRUE,"みのり川信英",male,53,4,FALSE,TRUE,"選挙区支部長",107432,TRUE
74,27,FALSE,"冨岡あきら",male,67,8,FALSE,FALSE,"政党役員",11274,FALSE
75,28,TRUE,"えんどう利明",male,67,4,FALSE,TRUE,"団体役員",104227,TRUE
76,28,FALSE,"あらい寛",male,44,6,FALSE,FALSE,"総支部長",62407,TRUE
77,28,FALSE,"石川渉",male,43,8,FALSE,FALSE,"政党役員",15354,FALSE
78,29,TRUE,"すずきのりかず",male,35,4,FALSE,TRUE,"選挙区支部長",109949,TRUE
79,29,FALSE,"近藤ようすけ",male,52,6,FALSE,TRUE,"前衆議院議員",92035,TRUE
80,29,FALSE,"岩本こうじ",male,52,8,FALSE,FALSE,"政党役員",10923,FALSE
81,30,FALSE,"しろとり良太",male,40,9,FALSE,FALSE,"本部代表",2329,FALSE
82,30,TRUE,"かとう鮎子",female,38,4,FALSE,TRUE,"選挙区支部長",103973,TRUE
83,30,FALSE,"加藤太一",male,66,8,FALSE,FALSE,"",11242,FALSE
84,30,FALSE,"あべ寿一",male,58,6,TRUE,FALSE,"無職",81708,TRUE
85,31,TRUE,"かねこ恵美",female,52,1,FALSE,TRUE,"政党役員",126664,FALSE
86,31,FALSE,"亀岡よしたみ",male,62,4,FALSE,TRUE,"選挙区支部長",113514,TRUE
87,32,TRUE,"根本匠",male,66,4,FALSE,TRUE,"選挙区支部長",96892,TRUE
88,32,FALSE,"たいら善彦",male,65,8,FALSE,FALSE,"政党役員",18279,FALSE
89,32,FALSE,"岡部みつのり",male,49,6,FALSE,FALSE,"医師",59377,TRUE
90,32,FALSE,"西村えみ",female,54,7,FALSE,FALSE,"会社員",9685,TRUE
91,33,FALSE,"橋本けんじ",male,69,8,FALSE,FALSE,"政党役員",11196,FALSE
92,33,FALSE,"上杉けんたろう",male,42,4,FALSE,FALSE,"自由民主党福島県",60006,TRUE
93,33,TRUE,"げんば光一郎",male,53,1,FALSE,TRUE,"政党役員",92930,FALSE
94,34,FALSE,"渡辺としお",male,68,3,FALSE,FALSE,"団体役員",8063,TRUE
95,34,FALSE,"おぐま慎司",male,49,6,FALSE,TRUE,"政党役員",67073,TRUE
96,34,FALSE,"古川よしのり",male,66,8,FALSE,FALSE,"政党役員",9492,FALSE
97,34,TRUE,"かんけ一郎",male,62,4,FALSE,TRUE,"選挙区支部長",68282,TRUE
98,35,TRUE,"吉野まさよし",male,69,4,FALSE,TRUE,"復興大臣",86461,TRUE
99,35,FALSE,"吉田泉",male,68,6,FALSE,TRUE,"政党役員",51478,TRUE
100,35,FALSE,"くまがい智",male,37,8,FALSE,FALSE,"政党役員",16154,FALSE
101,35,FALSE,"えんどう陽子",female,67,3,FALSE,FALSE,"団体役員",7186,TRUE
102,36,FALSE,"かわべ賢一",male,30,9,FALSE,FALSE,"団体職員",2564,FALSE
103,36,FALSE,"福島のぶゆき",male,47,6,FALSE,TRUE,"政党役員",82835,TRUE
104,36,TRUE,"田所よしのり",male,63,4,FALSE,TRUE,"選挙区支部長",100875,TRUE
105,36,FALSE,"大内くみ子",female,68,8,FALSE,FALSE,"団体役員",22034,TRUE
106,37,FALSE,"星野文雄",male,69,8,FALSE,FALSE,"政党役員",14675,FALSE
107,37,TRUE,"ぬかが福志郎",male,73,4,FALSE,TRUE,"選挙区支部長",104183,FALSE
108,37,FALSE,"いしづ政雄",male,70,6,TRUE,FALSE,"団体役員",57098,TRUE
109,38,FALSE,"林みやこ",female,67,8,FALSE,FALSE,"無職",34112,FALSE
110,38,TRUE,"はなし康弘",male,58,4,FALSE,TRUE,"選挙区支部長",113068,TRUE
111,38,FALSE,"ひぐちまい",female,44,6,FALSE,FALSE,"エム株式会社 会",51060,TRUE
112,39,FALSE,"堀江かくじ",male,75,8,FALSE,FALSE,"農業",12548,FALSE
113,39,FALSE,"おおくま利昭",male,54,6,TRUE,FALSE,"無職",29547,TRUE
114,39,TRUE,"梶山ひろし",male,62,4,FALSE,TRUE,"第四選挙区支部支",97966,TRUE
115,40,TRUE,"石川あきまさ",male,45,4,FALSE,TRUE,"茨城県第五選挙区",61450,TRUE
116,40,FALSE,"川崎あつ子",female,64,8,FALSE,FALSE,"無職",10027,FALSE
117,40,FALSE,"浅野さとし",male,35,6,FALSE,FALSE,"労働組合役員",56098,TRUE
118,41,TRUE,"国光あやの",female,38,4,FALSE,FALSE,"医師",102820,TRUE
119,41,FALSE,"青山やまと",male,38,6,FALSE,FALSE,"Ｎｅｘｔ Ａｇｅ",96987,TRUE
120,41,FALSE,"古沢よしゆき",male,71,8,FALSE,FALSE,"無職",24227,FALSE
121,42,FALSE,"石嶋いわお",male,63,8,FALSE,FALSE,"農業",18308,FALSE
122,42,FALSE,"ながおか桂子",female,63,4,FALSE,TRUE,"選挙区支部長",62617,FALSE
123,42,TRUE,"なかむら喜四郎",male,68,1,FALSE,TRUE,"車学校代表取締役",77719,FALSE
124,43,FALSE,"渡辺のりよし",male,34,1,FALSE,FALSE,"政党役員",33681,FALSE
125,43,FALSE,"柏倉ゆうじ",male,48,6,TRUE,FALSE,"医師",51122,FALSE
126,43,TRUE,"船田はじめ",male,63,4,FALSE,TRUE,"選挙区支部長",109139,FALSE
127,43,FALSE,"青木ひろし",male,56,8,FALSE,FALSE,"政党役員",16463,FALSE
128,44,FALSE,"西川こうや",male,74,4,FALSE,TRUE,"選挙区支部長",65445,FALSE
129,44,TRUE,"福田あきお",male,69,1,FALSE,TRUE,"政党役員",75031,FALSE
130,45,FALSE,"まき昌三",male,74,8,FALSE,FALSE,"政党役員",9990,FALSE
131,45,FALSE,"石渡つよし",male,48,9,FALSE,FALSE,"団体職員",1561,FALSE
132,45,FALSE,"渡辺みゆき",female,58,6,FALSE,FALSE,"会社役員",42820,TRUE
133,45,TRUE,"やな和生",male,38,4,FALSE,TRUE,"選挙区支部長",74371,TRUE
134,46,TRUE,"さとう勉",male,65,4,FALSE,TRUE,"選挙区支部長",111167,TRUE
135,46,FALSE,"山崎としひこ",male,64,8,FALSE,FALSE,"政党役員",16741,FALSE
